DKNG,,,FUBO,,,WWE,,,NKE,
Date,Close,,Date,Close,,Date,Close,,Date,Close
9/24/2020 16:00,50.57,,5/21/2020 16:00,13.1,,3/5/2020 16:00,44.91,,3/5/2020 16:00,90.58
9/25/2020 16:00,53.19,,5/22/2020 16:00,11.5,,3/6/2020 16:00,42.7,,3/6/2020 16:00,88.36
9/28/2020 16:00,56.89,,5/26/2020 16:00,12,,3/9/2020 16:00,41.16,,3/9/2020 16:00,84.11
9/29/2020 16:00,55.74,,5/27/2020 16:00,12.97,,3/10/2020 16:00,41.19,,3/10/2020 16:00,88.3
9/30/2020 16:00,58.84,,5/28/2020 16:00,11.83,,3/11/2020 16:00,38.72,,3/11/2020 16:00,84
10/1/2020 16:00,61.83,,5/29/2020 16:00,11.55,,3/12/2020 16:00,32.38,,3/12/2020 16:00,74.2
10/2/2020 16:00,63.78,,6/1/2020 16:00,11.25,,3/13/2020 16:00,35.86,,3/13/2020 16:00,75.58
10/5/2020 16:00,60.55,,6/2/2020 16:00,10.6,,3/16/2020 16:00,30.44,,3/16/2020 16:00,66.79
10/6/2020 16:00,56.78,,6/3/2020 16:00,10.1,,3/17/2020 16:00,32.75,,3/17/2020 16:00,69.84
10/7/2020 16:00,53.33,,6/4/2020 16:00,10.99,,3/18/2020 16:00,33.94,,3/18/2020 16:00,68.04
10/8/2020 16:00,51.13,,6/5/2020 16:00,11.35,,3/19/2020 16:00,36.03,,3/19/2020 16:00,70.34
10/9/2020 16:00,48.82,,6/8/2020 16:00,12.25,,3/20/2020 16:00,36.5,,3/20/2020 16:00,67.45
10/12/2020 16:00,50.6,,6/9/2020 16:00,12.1,,3/23/2020 16:00,37.72,,3/23/2020 16:00,62.8
10/13/2020 16:00,51.18,,6/10/2020 16:00,12,,3/24/2020 16:00,39.04,,3/24/2020 16:00,72.33
10/14/2020 16:00,47.56,,6/11/2020 16:00,11,,3/25/2020 16:00,34.38,,3/25/2020 16:00,79.01
10/15/2020 16:00,45,,6/12/2020 16:00,11.98,,3/26/2020 16:00,34.95,,3/26/2020 16:00,84.3
10/16/2020 16:00,44.34,,6/15/2020 16:00,11.9,,3/27/2020 16:00,33.8,,3/27/2020 16:00,83.23
10/19/2020 16:00,44.58,,6/16/2020 16:00,11.05,,3/30/2020 16:00,33.44,,3/30/2020 16:00,85.38
10/20/2020 16:00,42.53,,6/17/2020 16:00,12,,3/31/2020 16:00,33.93,,3/31/2020 16:00,82.74
10/21/2020 16:00,41.5,,6/18/2020 16:00,11.34,,4/1/2020 16:00,33.6,,4/1/2020 16:00,79.23
10/22/2020 16:00,43,,6/19/2020 16:00,10.75,,4/2/2020 16:00,34.65,,4/2/2020 16:00,80.14
10/23/2020 16:00,42.74,,6/22/2020 16:00,10,,4/3/2020 16:00,34.13,,4/3/2020 16:00,78.86
10/26/2020 16:00,39.69,,6/23/2020 16:00,10,,4/6/2020 16:00,35.08,,4/6/2020 16:00,84.63
10/27/2020 16:00,38.7,,6/24/2020 16:00,11.6,,4/7/2020 16:00,35.93,,4/7/2020 16:00,84.16
10/28/2020 16:00,38.15,,6/25/2020 16:00,11.35,,4/8/2020 16:00,36.27,,4/8/2020 16:00,85.3
10/29/2020 16:00,37.37,,6/26/2020 16:00,11.15,,4/9/2020 16:00,37.42,,4/9/2020 16:00,86.79
10/30/2020 16:00,35.4,,6/29/2020 16:00,10.49,,4/13/2020 16:00,37.46,,4/13/2020 16:00,84.46
11/2/2020 16:00,35.72,,6/30/2020 16:00,10.45,,4/14/2020 16:00,38.37,,4/14/2020 16:00,87.47
11/3/2020 16:00,37.47,,7/1/2020 16:00,10.65,,4/15/2020 16:00,38.9,,4/15/2020 16:00,85.04
11/4/2020 16:00,39.46,,7/2/2020 16:00,10,,4/16/2020 16:00,39.67,,4/16/2020 16:00,86.3
11/5/2020 16:00,43.03,,7/6/2020 16:00,9.17,,4/17/2020 16:00,40.54,,4/17/2020 16:00,89.91
11/6/2020 16:00,42.32,,7/7/2020 16:00,8.69,,4/20/2020 16:00,40.57,,4/20/2020 16:00,87.9
11/9/2020 16:00,41.5,,7/8/2020 16:00,10.51,,4/21/2020 16:00,39.53,,4/21/2020 16:00,85.2
11/10/2020 16:00,40.36,,7/9/2020 16:00,10.7,,4/22/2020 16:00,39.48,,4/22/2020 16:00,88.77
11/11/2020 16:00,41.64,,7/10/2020 16:00,10.33,,4/23/2020 16:00,39.07,,4/23/2020 16:00,87.35
11/12/2020 16:00,41.25,,7/13/2020 16:00,10.45,,4/24/2020 16:00,44.79,,4/24/2020 16:00,88.37
11/13/2020 16:00,42.84,,7/14/2020 16:00,10.05,,4/27/2020 16:00,44.08,,4/27/2020 16:00,89.37
11/16/2020 16:00,42.73,,7/15/2020 16:00,10,,4/28/2020 16:00,44.37,,4/28/2020 16:00,88.8
11/17/2020 16:00,46.61,,7/16/2020 16:00,10.01,,4/29/2020 16:00,45.18,,4/29/2020 16:00,88.07
11/18/2020 16:00,47.68,,7/17/2020 16:00,10.15,,4/30/2020 16:00,44.47,,4/30/2020 16:00,87.18
11/19/2020 16:00,49.32,,7/20/2020 16:00,9.88,,5/1/2020 16:00,43.92,,5/1/2020 16:00,85.54
11/20/2020 16:00,48.23,,7/21/2020 16:00,9.95,,5/4/2020 16:00,44,,5/4/2020 16:00,85.75
11/23/2020 16:00,48.03,,7/22/2020 16:00,10,,5/5/2020 16:00,44.31,,5/5/2020 16:00,87.2
11/24/2020 16:00,47.89,,7/23/2020 16:00,10,,5/6/2020 16:00,43.51,,5/6/2020 16:00,88.44
11/25/2020 16:00,50.23,,7/24/2020 16:00,9.85,,5/7/2020 16:00,43.81,,5/7/2020 16:00,88.56
11/27/2020 13:00,52.75,,7/27/2020 16:00,9.8,,5/8/2020 16:00,46.06,,5/8/2020 16:00,90.46
11/30/2020 16:00,52.36,,7/28/2020 16:00,9.5,,5/11/2020 16:00,44.43,,5/11/2020 16:00,90.93
12/1/2020 16:00,50.78,,7/29/2020 16:00,9.85,,5/12/2020 16:00,43.04,,5/12/2020 16:00,88.26
12/2/2020 16:00,51.1,,7/30/2020 16:00,9.43,,5/13/2020 16:00,41.47,,5/13/2020 16:00,86.02
12/3/2020 16:00,50.06,,7/31/2020 16:00,10,,5/14/2020 16:00,42.04,,5/14/2020 16:00,86.55
12/4/2020 16:00,49.25,,8/3/2020 16:00,9.95,,5/15/2020 16:00,41.64,,5/15/2020 16:00,86.99
12/7/2020 16:00,47.93,,8/4/2020 16:00,9.85,,5/18/2020 16:00,43.56,,5/18/2020 16:00,91.04
12/8/2020 16:00,50.85,,8/5/2020 16:00,9.7,,5/19/2020 16:00,43.48,,5/19/2020 16:00,91.51
12/9/2020 16:00,48.94,,8/6/2020 16:00,10.08,,5/20/2020 16:00,45.75,,5/20/2020 16:00,92.95
12/10/2020 16:00,50.11,,8/7/2020 16:00,10.2,,5/21/2020 16:00,44.77,,5/21/2020 16:00,94.26
12/11/2020 16:00,50.09,,8/10/2020 16:00,10,,5/22/2020 16:00,44.51,,5/22/2020 16:00,93.75
12/14/2020 16:00,50.58,,8/11/2020 16:00,11.2,,5/26/2020 16:00,44.98,,5/26/2020 16:00,96.62
12/15/2020 16:00,50.5,,8/12/2020 16:00,10.65,,5/27/2020 16:00,45.87,,5/27/2020 16:00,99.87
12/16/2020 16:00,53.8,,8/13/2020 16:00,10.99,,5/28/2020 16:00,45.03,,5/28/2020 16:00,98.46
12/17/2020 16:00,55.2,,8/14/2020 16:00,10.87,,5/29/2020 16:00,46.27,,5/29/2020 16:00,98.58
12/18/2020 16:00,53.9,,8/17/2020 16:00,10.34,,6/1/2020 16:00,47.15,,6/1/2020 16:00,99.54
12/21/2020 16:00,53.34,,8/18/2020 16:00,10.5,,6/2/2020 16:00,47.39,,6/2/2020 16:00,100.74
12/22/2020 16:00,52.4,,8/19/2020 16:00,11.3,,6/3/2020 16:00,47.73,,6/3/2020 16:00,104.11
12/23/2020 16:00,53.89,,8/20/2020 16:00,10.7,,6/4/2020 16:00,47.02,,6/4/2020 16:00,101.28
12/24/2020 13:00,52.11,,8/21/2020 16:00,10.5,,6/5/2020 16:00,48.19,,6/5/2020 16:00,102.71
12/28/2020 16:00,48.96,,8/24/2020 16:00,10.5,,6/8/2020 16:00,48.76,,6/8/2020 16:00,104.29
12/29/2020 16:00,48.11,,8/25/2020 16:00,10,,6/9/2020 16:00,46.69,,6/9/2020 16:00,102.63
12/30/2020 16:00,48.95,,8/26/2020 16:00,9.9,,6/10/2020 16:00,46.7,,6/10/2020 16:00,102.12
12/31/2020 16:00,46.56,,8/27/2020 16:00,9.75,,6/11/2020 16:00,43.94,,6/11/2020 16:00,95.17
1/4/2021 16:00,44.86,,8/28/2020 16:00,9.75,,6/12/2020 16:00,44.47,,6/12/2020 16:00,96.43
1/5/2021 16:00,47.58,,8/31/2020 16:00,9.8,,6/15/2020 16:00,45.25,,6/15/2020 16:00,97.84
1/6/2021 16:00,49,,9/1/2020 16:00,9.77,,6/16/2020 16:00,44.61,,6/16/2020 16:00,99.04
1/7/2021 16:00,49.77,,9/2/2020 16:00,9.78,,6/17/2020 16:00,44.84,,6/17/2020 16:00,99.21
1/8/2021 16:00,52,,9/3/2020 16:00,9.7,,6/18/2020 16:00,45.25,,6/18/2020 16:00,98.45
1/11/2021 16:00,53.6,,9/4/2020 16:00,9.36,,6/19/2020 16:00,45.21,,6/19/2020 16:00,95.78
1/12/2021 16:00,53.39,,9/8/2020 16:00,9.2,,6/22/2020 16:00,44.84,,6/22/2020 16:00,99.51
1/13/2021 16:00,54.63,,9/9/2020 16:00,9.15,,6/23/2020 16:00,44.74,,6/23/2020 16:00,101.92
1/14/2021 16:00,54.92,,9/10/2020 16:00,9,,6/24/2020 16:00,43.85,,6/24/2020 16:00,100.08
1/15/2021 16:00,53.7,,9/11/2020 16:00,9.09,,6/25/2020 16:00,43.02,,6/25/2020 16:00,101.4
1/19/2021 16:00,51.29,,9/14/2020 16:00,9.3,,6/26/2020 16:00,41.36,,6/26/2020 16:00,93.67
1/20/2021 16:00,53.18,,9/15/2020 16:00,9.98,,6/29/2020 16:00,43.59,,6/29/2020 16:00,95.87
1/21/2021 16:00,53.56,,9/16/2020 16:00,9.86,,6/30/2020 16:00,43.45,,6/30/2020 16:00,98.05
1/22/2021 16:00,52.53,,9/17/2020 16:00,9.8,,7/1/2020 16:00,44.82,,7/1/2020 16:00,97.4
1/25/2021 16:00,51.29,,9/18/2020 16:00,9.6,,7/2/2020 16:00,45.51,,7/2/2020 16:00,98.43
1/26/2021 16:00,54.06,,9/21/2020 16:00,9.6,,7/6/2020 16:00,46.38,,7/6/2020 16:00,99.95
1/27/2021 16:00,54.27,,9/22/2020 16:00,9.35,,7/7/2020 16:00,45,,7/7/2020 16:00,97.07
1/28/2021 16:00,56.17,,9/23/2020 16:00,9.2,,7/8/2020 16:00,45.86,,7/8/2020 16:00,98.84
1/29/2021 16:00,54.11,,9/24/2020 16:00,8.85,,7/9/2020 16:00,45.17,,7/9/2020 16:00,96.99
2/1/2021 16:00,54.64,,9/25/2020 16:00,9.35,,7/10/2020 16:00,46.25,,7/10/2020 16:00,97.99
2/2/2021 16:00,59.31,,9/28/2020 16:00,9.17,,7/13/2020 16:00,44.48,,7/13/2020 16:00,96.46
2/3/2021 16:00,60.11,,9/29/2020 16:00,9.3,,7/14/2020 16:00,45.57,,7/14/2020 16:00,96.76
2/4/2021 16:00,63.16,,9/30/2020 16:00,9,,7/15/2020 16:00,47.12,,7/15/2020 16:00,98.54
2/5/2021 16:00,63.87,,10/1/2020 16:00,10.72,,7/16/2020 16:00,46.73,,7/16/2020 16:00,97.26
2/8/2021 16:00,61.97,,10/2/2020 16:00,12.09,,7/17/2020 16:00,46.06,,7/17/2020 16:00,96.28
2/9/2021 16:00,62.13,,10/5/2020 16:00,13.5,,7/20/2020 16:00,46.26,,7/20/2020 16:00,95.65
2/10/2021 16:00,62.71,,10/6/2020 16:00,12.93,,7/21/2020 16:00,45.84,,7/21/2020 16:00,98.36
2/11/2021 16:00,59.19,,10/7/2020 16:00,12.2,,7/22/2020 16:00,45.93,,7/22/2020 16:00,98.91
2/12/2021 16:00,61.07,,10/8/2020 16:00,10.26,,7/23/2020 16:00,45.56,,7/23/2020 16:00,98.3
2/16/2021 16:00,60.5,,10/9/2020 16:00,10.07,,7/24/2020 16:00,44.72,,7/24/2020 16:00,98.43
2/17/2021 16:00,58.86,,10/12/2020 16:00,9.86,,7/27/2020 16:00,44.91,,7/27/2020 16:00,97.21
2/18/2021 16:00,58.28,,10/13/2020 16:00,9.71,,7/28/2020 16:00,44.9,,7/28/2020 16:00,96.27
2/19/2021 16:00,60.91,,10/14/2020 16:00,9.32,,7/29/2020 16:00,44.56,,7/29/2020 16:00,96.97
2/22/2021 16:00,60.37,,10/15/2020 16:00,10.79,,7/30/2020 16:00,45.43,,7/30/2020 16:00,96.82
2/23/2021 16:00,60.27,,10/16/2020 16:00,12.01,,7/31/2020 16:00,46.61,,7/31/2020 16:00,97.61
2/24/2021 16:00,60.28,,10/19/2020 16:00,11.97,,8/3/2020 16:00,44.17,,8/3/2020 16:00,98.33
2/25/2021 16:00,57.81,,10/20/2020 16:00,12.2,,8/4/2020 16:00,44.31,,8/4/2020 16:00,97.33
2/26/2021 16:00,61.53,,10/21/2020 16:00,12.5,,8/5/2020 16:00,45.26,,8/5/2020 16:00,100.94
3/1/2021 16:00,68.72,,10/22/2020 16:00,12.4,,8/6/2020 16:00,45.42,,8/6/2020 16:00,100.45
3/2/2021 16:00,68.58,,10/23/2020 16:00,13.49,,8/7/2020 16:00,43.7,,8/7/2020 16:00,101.86
3/3/2021 16:00,65.75,,10/26/2020 16:00,13.73,,8/10/2020 16:00,44.09,,8/10/2020 16:00,105.41
3/4/2021 16:00,61.91,,10/27/2020 16:00,13.8,,8/11/2020 16:00,45.41,,8/11/2020 16:00,105.12
3/5/2021 16:00,59.52,,10/28/2020 16:00,13.73,,8/12/2020 16:00,45.51,,8/12/2020 16:00,105.22
3/8/2021 16:00,60.5,,10/29/2020 16:00,13.64,,8/13/2020 16:00,45.83,,8/13/2020 16:00,106.52
3/9/2021 16:00,62.2,,10/30/2020 16:00,13.49,,8/14/2020 16:00,45.37,,8/14/2020 16:00,106.43
3/10/2021 16:00,69.29,,11/2/2020 16:00,13.8,,8/17/2020 16:00,44.89,,8/17/2020 16:00,105.66
3/11/2021 16:00,71.61,,11/3/2020 16:00,14.93,,8/18/2020 16:00,44.77,,8/18/2020 16:00,106.97
3/12/2021 16:00,71.75,,11/4/2020 16:00,14.28,,8/19/2020 16:00,44.68,,8/19/2020 16:00,108.39
3/15/2021 16:00,67.75,,11/5/2020 16:00,14.78,,8/20/2020 16:00,44.03,,8/20/2020 16:00,108.01
3/16/2021 16:00,67.14,,11/6/2020 16:00,14.92,,8/21/2020 16:00,42.73,,8/21/2020 16:00,109.75
3/17/2021 16:00,70.65,,11/9/2020 16:00,14.65,,8/24/2020 16:00,44.98,,8/24/2020 16:00,111.83
3/18/2021 16:00,67.61,,11/10/2020 16:00,15.65,,8/25/2020 16:00,44.5,,8/25/2020 16:00,111.51
3/19/2021 16:00,71.98,,11/11/2020 16:00,16.03,,8/26/2020 16:00,45.46,,8/26/2020 16:00,111.53
3/22/2021 16:00,71.72,,11/12/2020 16:00,15.42,,8/27/2020 16:00,45.14,,8/27/2020 16:00,110.84
3/23/2021 16:00,69.75,,11/13/2020 16:00,15.32,,8/28/2020 16:00,44.92,,8/28/2020 16:00,112.29
3/24/2021 16:00,66.63,,11/16/2020 16:00,18.59,,8/31/2020 16:00,44.07,,8/31/2020 16:00,111.89
3/25/2021 16:00,65.86,,11/17/2020 16:00,21.66,,9/1/2020 16:00,43.53,,9/1/2020 16:00,114.84
3/26/2021 16:00,63.6,,11/18/2020 16:00,20.83,,9/2/2020 16:00,44.36,,9/2/2020 16:00,116.8
3/29/2021 16:00,58.2,,11/19/2020 16:00,22.2,,9/3/2020 16:00,42.52,,9/3/2020 16:00,112.85
3/30/2021 16:00,61,,11/20/2020 16:00,23.65,,9/4/2020 16:00,43.08,,9/4/2020 16:00,112.4
3/31/2021 16:00,61.33,,11/23/2020 16:00,25.75,,9/8/2020 16:00,42.72,,9/8/2020 16:00,112.72
4/1/2021 16:00,62.88,,11/24/2020 16:00,24.85,,9/9/2020 16:00,42.26,,9/9/2020 16:00,114.9
4/5/2021 16:00,62.63,,11/25/2020 16:00,25.26,,9/10/2020 16:00,42.46,,9/10/2020 16:00,114.79
4/6/2021 16:00,63.8,,11/27/2020 13:00,27.1,,9/11/2020 16:00,41.4,,9/11/2020 16:00,118
4/7/2021 16:00,62.09,,11/30/2020 16:00,27.7,,9/14/2020 16:00,41.12,,9/14/2020 16:00,119.28
4/8/2021 16:00,61.11,,12/1/2020 16:00,26.74,,9/15/2020 16:00,41.15,,9/15/2020 16:00,119.27
4/9/2021 16:00,62.31,,12/2/2020 16:00,27.4,,9/16/2020 16:00,41.08,,9/16/2020 16:00,118.59
4/12/2021 16:00,58.03,,12/3/2020 16:00,26.9,,9/17/2020 16:00,40.73,,9/17/2020 16:00,116.36
4/13/2021 16:00,59.24,,12/4/2020 16:00,27,,9/18/2020 16:00,40.16,,9/18/2020 16:00,114.66
4/14/2021 16:00,58.88,,12/7/2020 16:00,27.6,,9/21/2020 16:00,39.36,,9/21/2020 16:00,113.37
4/15/2021 16:00,57.48,,12/8/2020 16:00,29,,9/22/2020 16:00,39.21,,9/22/2020 16:00,116.87
4/16/2021 16:00,57.98,,12/9/2020 16:00,29.79,,9/23/2020 16:00,38.35,,9/23/2020 16:00,127.11
4/19/2021 16:00,56.68,,12/10/2020 16:00,28.9,,9/24/2020 16:00,38.82,,9/24/2020 16:00,124.75
4/20/2021 16:00,55.71,,12/11/2020 16:00,27.58,,9/25/2020 16:00,39.15,,9/25/2020 16:00,124.23
4/21/2021 16:00,58.78,,12/14/2020 16:00,27.15,,9/28/2020 16:00,39.87,,9/28/2020 16:00,124.32
4/22/2021 16:00,57.17,,12/15/2020 16:00,26.47,,9/29/2020 16:00,40.03,,9/29/2020 16:00,126.35
4/23/2021 16:00,58.12,,12/16/2020 16:00,29.7,,9/30/2020 16:00,40.47,,9/30/2020 16:00,125.54
4/26/2021 16:00,59.23,,12/17/2020 16:00,35.32,,10/1/2020 16:00,40.37,,10/1/2020 16:00,126.64
4/27/2021 16:00,59.13,,12/18/2020 16:00,39.25,,10/2/2020 16:00,40.16,,10/2/2020 16:00,126.64
4/28/2021 16:00,59.69,,12/21/2020 16:00,49.48,,10/5/2020 16:00,39.22,,10/5/2020 16:00,127.91
4/29/2021 16:00,57.46,,12/22/2020 16:00,62,,10/6/2020 16:00,39.76,,10/6/2020 16:00,127.65
4/30/2021 16:00,56.66,,12/23/2020 16:00,52.59,,10/7/2020 16:00,40.08,,10/7/2020 16:00,130.06
5/3/2021 16:00,57.08,,12/24/2020 13:00,44.18,,10/8/2020 16:00,39.85,,10/8/2020 16:00,129.71
5/4/2021 16:00,56.13,,12/28/2020 16:00,38.94,,10/9/2020 16:00,40.16,,10/9/2020 16:00,130.98
5/5/2021 16:00,56.18,,12/29/2020 16:00,38.74,,10/12/2020 16:00,40.08,,10/12/2020 16:00,129.46
5/6/2021 16:00,51.89,,12/30/2020 16:00,33.31,,10/13/2020 16:00,40.57,,10/13/2020 16:00,129.2
5/7/2021 16:00,48.42,,12/31/2020 16:00,28,,10/14/2020 16:00,41.65,,10/14/2020 16:00,127.66
5/10/2021 16:00,45.34,,1/4/2021 16:00,24.24,,10/15/2020 16:00,40.96,,10/15/2020 16:00,129
5/11/2021 16:00,44.01,,1/5/2021 16:00,27.33,,10/16/2020 16:00,39.78,,10/16/2020 16:00,128
5/12/2021 16:00,42.11,,1/6/2021 16:00,27.17,,10/19/2020 16:00,38.65,,10/19/2020 16:00,127.43
5/13/2021 16:00,40.99,,1/7/2021 16:00,28.37,,10/20/2020 16:00,38.71,,10/20/2020 16:00,128.49
5/14/2021 16:00,44.89,,1/8/2021 16:00,27.31,,10/21/2020 16:00,38.99,,10/21/2020 16:00,129.43
5/17/2021 16:00,43.51,,1/11/2021 16:00,27.19,,10/22/2020 16:00,38.6,,10/22/2020 16:00,130.02
5/18/2021 16:00,44.27,,1/12/2021 16:00,36.48,,10/23/2020 16:00,38.28,,10/23/2020 16:00,129.99
5/19/2021 16:00,43.44,,1/13/2021 16:00,35.8,,10/26/2020 16:00,37.65,,10/26/2020 16:00,128.37
5/20/2021 16:00,44.54,,1/14/2021 16:00,35.62,,10/27/2020 16:00,37.48,,10/27/2020 16:00,127.99
5/21/2021 16:00,44.63,,1/15/2021 16:00,32.13,,10/28/2020 16:00,36.65,,10/28/2020 16:00,122.08
5/24/2021 16:00,47.86,,1/19/2021 16:00,30.74,,10/29/2020 16:00,37.33,,10/29/2020 16:00,122.86
5/25/2021 16:00,48.42,,1/20/2021 16:00,30.15,,10/30/2020 16:00,36.36,,10/30/2020 16:00,120.08
,,,1/21/2021 16:00,35.5,,11/2/2020 16:00,38.41,,11/2/2020 16:00,122.39
,,,1/22/2021 16:00,37.72,,11/3/2020 16:00,38.5,,11/3/2020 16:00,124.59
,,,1/25/2021 16:00,40.98,,11/4/2020 16:00,39.1,,11/4/2020 16:00,127.34
,,,1/26/2021 16:00,43.92,,11/5/2020 16:00,37.78,,11/5/2020 16:00,129.7
,,,1/27/2021 16:00,46.75,,11/6/2020 16:00,38.92,,11/6/2020 16:00,128.9
,,,1/28/2021 16:00,39.85,,11/9/2020 16:00,40.23,,11/9/2020 16:00,128.95
,,,1/29/2021 16:00,42.25,,11/10/2020 16:00,40.53,,11/10/2020 16:00,127.71
,,,2/1/2021 16:00,52.4,,11/11/2020 16:00,41.11,,11/11/2020 16:00,127.66
,,,2/2/2021 16:00,48.46,,11/12/2020 16:00,40.3,,11/12/2020 16:00,126.64
,,,2/3/2021 16:00,49.1,,11/13/2020 16:00,40.88,,11/13/2020 16:00,128.28
,,,2/4/2021 16:00,51.05,,11/16/2020 16:00,42.26,,11/16/2020 16:00,130.11
,,,2/5/2021 16:00,48.78,,11/17/2020 16:00,42.23,,11/17/2020 16:00,132.21
,,,2/8/2021 16:00,46.32,,11/18/2020 16:00,41.47,,11/18/2020 16:00,131.63
,,,2/9/2021 16:00,46.75,,11/19/2020 16:00,41.95,,11/19/2020 16:00,131.91
,,,2/10/2021 16:00,45.85,,11/20/2020 16:00,40.97,,11/20/2020 16:00,132.98
,,,2/11/2021 16:00,43.89,,11/23/2020 16:00,41.3,,11/23/2020 16:00,134.13
,,,2/12/2021 16:00,46.66,,11/24/2020 16:00,42.03,,11/24/2020 16:00,134.7
,,,2/16/2021 16:00,43.28,,11/25/2020 16:00,41.97,,11/25/2020 16:00,135.54
,,,2/17/2021 16:00,45.96,,11/27/2020 13:00,41.8,,11/27/2020 13:00,134.25
,,,2/18/2021 16:00,42.23,,11/30/2020 16:00,43.04,,11/30/2020 16:00,134.7
,,,2/19/2021 16:00,42.95,,12/1/2020 16:00,44.86,,12/1/2020 16:00,135.44
,,,2/22/2021 16:00,40.82,,12/2/2020 16:00,44.48,,12/2/2020 16:00,135.58
,,,2/23/2021 16:00,38.93,,12/3/2020 16:00,44.12,,12/3/2020 16:00,136.96
,,,2/24/2021 16:00,39.41,,12/4/2020 16:00,44.97,,12/4/2020 16:00,137.19
,,,2/25/2021 16:00,34.91,,12/7/2020 16:00,44.3,,12/7/2020 16:00,138.75
,,,2/26/2021 16:00,35.3,,12/8/2020 16:00,43.77,,12/8/2020 16:00,139.12
,,,3/1/2021 16:00,38.78,,12/9/2020 16:00,43.82,,12/9/2020 16:00,138.79
,,,3/2/2021 16:00,41.89,,12/10/2020 16:00,44.44,,12/10/2020 16:00,137.58
,,,3/3/2021 16:00,34.14,,12/11/2020 16:00,44.25,,12/11/2020 16:00,137.41
,,,3/4/2021 16:00,32.11,,12/14/2020 16:00,44.61,,12/14/2020 16:00,136.28
,,,3/5/2021 16:00,29.96,,12/15/2020 16:00,45.68,,12/15/2020 16:00,139.39
,,,3/8/2021 16:00,27.31,,12/16/2020 16:00,45.53,,12/16/2020 16:00,138.34
,,,3/9/2021 16:00,28.91,,12/17/2020 16:00,47.49,,12/17/2020 16:00,140.5
,,,3/10/2021 16:00,30.05,,12/18/2020 16:00,46.43,,12/18/2020 16:00,137.28
,,,3/11/2021 16:00,33.65,,12/21/2020 16:00,46.19,,12/21/2020 16:00,144.02
,,,3/12/2021 16:00,32.31,,12/22/2020 16:00,47.14,,12/22/2020 16:00,142.45
,,,3/15/2021 16:00,33.43,,12/23/2020 16:00,47.76,,12/23/2020 16:00,141.76
,,,3/16/2021 16:00,31.96,,12/24/2020 13:00,47.32,,12/24/2020 13:00,141.6
,,,3/17/2021 16:00,32.05,,12/28/2020 16:00,47.92,,12/28/2020 16:00,142.43
,,,3/18/2021 16:00,30.21,,12/29/2020 16:00,48.17,,12/29/2020 16:00,141.57
,,,3/19/2021 16:00,31.42,,12/30/2020 16:00,48.38,,12/30/2020 16:00,141.58
,,,3/22/2021 16:00,31.53,,12/31/2020 16:00,48.05,,12/31/2020 16:00,141.47
,,,3/23/2021 16:00,30.09,,1/4/2021 16:00,47.22,,1/4/2021 16:00,140.1
,,,3/24/2021 16:00,26.85,,1/5/2021 16:00,48.02,,1/5/2021 16:00,141.23
,,,3/25/2021 16:00,25.89,,1/6/2021 16:00,48.5,,1/6/2021 16:00,142.35
,,,3/26/2021 16:00,21.88,,1/7/2021 16:00,48.43,,1/7/2021 16:00,144.95
,,,3/29/2021 16:00,21.06,,1/8/2021 16:00,48.24,,1/8/2021 16:00,146.35
,,,3/30/2021 16:00,21.75,,1/11/2021 16:00,47.25,,1/11/2021 16:00,147.05
,,,3/31/2021 16:00,22.12,,1/12/2021 16:00,48.71,,1/12/2021 16:00,145.05
,,,4/1/2021 16:00,22.44,,1/13/2021 16:00,50.18,,1/13/2021 16:00,143.04
,,,4/5/2021 16:00,21.49,,1/14/2021 16:00,51.68,,1/14/2021 16:00,141.3
,,,4/6/2021 16:00,22.37,,1/15/2021 16:00,50.83,,1/15/2021 16:00,140.72
,,,4/7/2021 16:00,20.74,,1/19/2021 16:00,52.08,,1/19/2021 16:00,139.27
,,,4/8/2021 16:00,20.7,,1/20/2021 16:00,51.55,,1/20/2021 16:00,142.8
,,,4/9/2021 16:00,23.31,,1/21/2021 16:00,52.59,,1/21/2021 16:00,141.61
,,,4/12/2021 16:00,21.35,,1/22/2021 16:00,55.52,,1/22/2021 16:00,139.35
,,,4/13/2021 16:00,21.24,,1/25/2021 16:00,53.96,,1/25/2021 16:00,137.55
,,,4/14/2021 16:00,20.97,,1/26/2021 16:00,57.46,,1/26/2021 16:00,135.1
,,,4/15/2021 16:00,19.29,,1/27/2021 16:00,57.44,,1/27/2021 16:00,131.02
,,,4/16/2021 16:00,18.86,,1/28/2021 16:00,56.49,,1/28/2021 16:00,134.72
,,,4/19/2021 16:00,19.43,,1/29/2021 16:00,56.33,,1/29/2021 16:00,133.59
,,,4/20/2021 16:00,18.58,,2/1/2021 16:00,57.58,,2/1/2021 16:00,135.71
,,,4/21/2021 16:00,19.71,,2/2/2021 16:00,57.16,,2/2/2021 16:00,139.59
,,,4/22/2021 16:00,20.38,,2/3/2021 16:00,56.51,,2/3/2021 16:00,138.63
,,,4/23/2021 16:00,20.66,,2/4/2021 16:00,56,,2/4/2021 16:00,140.63
,,,4/26/2021 16:00,21.79,,2/5/2021 16:00,49.23,,2/5/2021 16:00,145.11
,,,4/27/2021 16:00,22.11,,2/8/2021 16:00,47.42,,2/8/2021 16:00,143.41
,,,4/28/2021 16:00,21.78,,2/9/2021 16:00,47.24,,2/9/2021 16:00,141.79
